id_geografico,nombre,poblacion_total,poblacion_mayor_de_25,ingreso_medio,valor_medio_de_vivienda,educacion,poblacion_blanca,poblacion_afroamericana,poblacion_nativa,poblacion_asiatica,nativo_hawaiano,alguna_otra_etnia,dos_o_mas_etnias,poblacion_hispana_o_latina,ciudad,area_metropolitana
11001007503,"nombre 75.03, Distrito de Columbia, Distrito de Columbia",2454,1425,2625000,2838168525,30800,12200,2278,0,0,0,0,1700,37,Washington,Washington-Arlington-Alexandria
27727369410,"nombre 76.01, Distrito de Columbia, Distrito de Columbia",4855,3463,3484000,25500000,72700,31100,4292,0,0,1300,0,4100,198,Washington,Washington-Arlington-Alexandria
11001007709,"nombre 77.09, Distrito de Columbia, Distrito de Columbia",2524,1817,3375000,25000000,34400,2000,2280,0,0,0,0,13000,94,Washington,Washington-Arlington-Alexandria
11001009508,"nombre 95.08, Distrito de Columbia, Distrito de Columbia",3691,2838,5640400,35660000,100800,21100,2688,68,71,0,0,6600,587,Washington,Washington-Arlington-Alexandria
11001009904,"nombre 99.04, Distrito de Columbia, Distrito de Columbia",2979,1526,3072800,29860000,25200,5200,2375,906,0,1500,0,4600,491,Washington,Washington-Arlington-Alexandria
11001008903,"nombre 89.03, Distrito de Columbia, Distrito de Columbia",3252,2345,4060500,31810000,78800,39800,2571,0,90,0,7,9890,164,Washington,Washington-Arlington-Alexandria
11001009204,"nombre 92.04, Distrito de Columbia, Distrito de Columbia",4540,2040,2621500,33090000,38200,30900,906,0,14,0,0,5900,293,Washington,Washington-Arlington-Alexandria
11001009902,"nombre 99.02, Distrito de Columbia, Distrito de Columbia",3120,2322,999036776,25800000,37600,5700,3029,0,11,0,22,2100,2,Washington,Washington-Arlington-Alexandria
11001000100,"nombre 1, Distrito de Columbia, Distrito de Columbia",5170,4098,16847700,123150000,374100,409300,53,0,296,0,0,10300,625,Washington,Washington-Arlington-Alexandria
11001000801,"nombre 8.01, Distrito de Columbia, Distrito de Columbia",6267,4263,14845600,76190000,368800,473100,335,27,339,0,11,24400,607,Washington,Washington-Arlington-Alexandria
11001000802,"nombre 8.02, Distrito de Columbia, Distrito de Columbia",3476,2538,9980800,97030000,223200,225300,215,0,343,0,0,10200,563,Washington,Washington-Arlington-Alexandria
11001001001,"nombre 10.01, Distrito de Columbia, Distrito de Columbia",7853,5233,16418000,91900000,468300,583500,316,0,492,0,0,44700,763,Washington,Washington-Arlington-Alexandria
11001001702,"nombre 17.02, Distrito de Columbia, Distrito de Columbia",3217,2600,9171100,42080000,167200,122400,1435,0,41,0,0,7900,438,Washington,Washington-Arlington-Alexandria
11001003000,"nombre 30, Distrito de Columbia, Distrito de Columbia",3279,2545,6745700,2838168525,162800,131600,1275,7,95,0,9,4600,538,Washington,Washington-Arlington-Alexandria
11001003301,"nombre 33.01, Distrito de Columbia, Distrito de Columbia",4066,3347,12125000,68720000,246100,170000,1765,0,182,0,8,15900,252,Washington,Washington-Arlington-Alexandria
11001003600,"nombre 36, Distrito de Columbia, Distrito de Columbia",4540,4124,9373400,63060000,294700,212900,1281,0,569,0,0,21500,639,Washington,Washington-Arlington-Alexandria
11001004202,"nombre 42.02, Distrito de Columbia, Distrito de Columbia",2538,2248,10597800,46940000,207200,191800,35,9,144,0,7,7200,353,Washington,Washington-Arlington-Alexandria
11001000600,"nombre 6, Distrito de Columbia, Distrito de Columbia",4998,3853,22110300,90630000,349900,355400,271,0,288,0,9,9890,776,Washington,Washington-Arlington-Alexandria
11001001402,"nombre 14.02, Distrito de Columbia, Distrito de Columbia",3375,2459,11136100,83460000,124537,214500,319,0,181,0,9,12200,599,Washington,Washington-Arlington-Alexandria
11001002002,"nombre 20.02, Distrito de Columbia, Distrito de Columbia",4202,2988,8725600,59700000,142800,78100,2326,7,66,0,46,8200,894,Washington,Washington-Arlington-Alexandria
11001002101,"nombre 21.01, Distrito de Columbia, Distrito de Columbia",4819,3868,5435900,41810000,104200,42800,3152,28,178,0,0,8300,950,Washington,Washington-Arlington-Alexandria
11001004802,"nombre 48.02, Distrito de Columbia, Distrito de Columbia",3528,3117,6740900,59080000,155700,126000,1579,0,313,0,15,8900,272,Washington,Washington-Arlington-Alexandria
11001002400,"nombre 24, Distrito de Columbia, Distrito de Columbia",4067,3231,10518900,53140000,176100,123400,1921,0,91,0,9,0,728,Washington,Washington-Arlington-Alexandria
11001002702,"nombre 27.02, Distrito de Columbia, Distrito de Columbia",6306,4920,7897600,75990000,326600,358000,631,0,130,0,166,22800,1571,Washington,Washington-Arlington-Alexandria
11001004801,"nombre 48.01, Distrito de Columbia, Distrito de Columbia",2725,2203,10960100,2838168525,147300,112800,988,0,251,0,22,9400,216,Washington,Washington-Arlington-Alexandria
11001005301,"nombre 53.01, Distrito de Columbia, Distrito de Columbia",4915,4270,9040200,44490000,399900,353400,181,16,582,0,0,12900,473,Washington,Washington-Arlington-Alexandria
11001006801,"nombre 68.01, Distrito de Columbia, Distrito de Columbia",2350,1896,8932700,59850000,120500,105200,993,4,90,0,10,7400,131,Washington,Washington-Arlington-Alexandria
11001006804,"nombre 68.04, Distrito de Columbia, Distrito de Columbia",2733,2150,15658300,82240000,16700,15900,2360,13,0,0,22,4000,143,Washington,Washington-Arlington-Alexandria
11001007000,"nombre 70, Distrito de Columbia, Distrito de Columbia",2923,1956,12458300,83410000,166700,199900,290,0,59,0,32,17900,871,Washington,Washington-Arlington-Alexandria
11001007301,"nombre 73.01, Distrito de Columbia, Distrito de Columbia",4606,2161,8400900,66666666600,130500,240900,1107,6,103,0,31,24100,709,Washington,Washington-Arlington-Alexandria
11001007404,"nombre 74.04, Distrito de Columbia, Distrito de Columbia",4307,2074,4243900,33920000,33700,3700,4058,0,8,0,87,0,117,Washington,Washington-Arlington-Alexandria
11001007504,"nombre 75.04, Distrito de Columbia, Distrito de Columbia",2906,1661,1707700,31670000,19000,2700,2874,0,0,0,0,0,5,Washington,Washington-Arlington-Alexandria
11001007605,"nombre 76.05, Distrito de Columbia, Distrito de Columbia",3956,2771,3365900,24730000,124537,12800,3418,0,69,0,0,12700,214,Washington,Washington-Arlington-Alexandria
11001004001,"nombre 40.01, Distrito de Columbia, Distrito de Columbia",4400,3805,11898800,60090000,341300,333200,219,0,150,4200,0,4700,610,Washington,Washington-Arlington-Alexandria
11001004002,"nombre 40.02, Distrito de Columbia, Distrito de Columbia",3190,2826,10245500,62620000,262400,267000,94,0,135,0,12,4800,231,Washington,Washington-Arlington-Alexandria
11001001901,"nombre 19.01, Distrito de Columbia, Distrito de Columbia",4065,2900,8296300,44570000,140300,68000,2584,0,208,0,20,10300,470,Washington,Washington-Arlington-Alexandria
11001001600,"nombre 16, Distrito de Columbia, Distrito de Columbia",4699,3399,16925000,81200000,272900,125400,2932,0,62,0,18,10700,326,Washington,Washington-Arlington-Alexandria
11001002600,"nombre 26, Distrito de Columbia, Distrito de Columbia",2521,1910,18187500,92380000,161500,120000,838,20,145,1600,17,8600,199,Washington,Washington-Arlington-Alexandria
11001005900,"nombre 59, Distrito de Columbia, Distrito de Columbia",2682,1917,10155300,45520000,149500,147400,906,0,337,0,31,8600,186,Washington,Washington-Arlington-Alexandria
11001005600,"nombre 56, Distrito de Columbia, Distrito de Columbia",6442,3853,8336500,48480000,335200,402100,369,17,733,0,101,0,954,Washington,Washington-Arlington-Alexandria
11001004600,"nombre 46, Distrito de Columbia, Distrito de Columbia",2863,2328,9869800,64110000,137100,119200,1309,0,133,0,0,9890,193,Washington,Washington-Arlington-Alexandria
11001005201,"nombre 52.01, Distrito de Columbia, Distrito de Columbia",6263,5810,11427100,56390000,478900,0,376,83,517,0,21,17100,798,Washington,Washington-Arlington-Alexandria
11001007703,"nombre 77.03, Distrito de Columbia, Distrito de Columbia",6159,3471,2602000,25750000,15400,0,5753,0,23,0,0,1600,367,Washington,Washington-Arlington-Alexandria
11001007707,"nombre 77.07, Distrito de Columbia, Distrito de Columbia",4484,2692,4099500,27280000,39800,2100,4356,0,0,0,0,3800,69,Washington,Washington-Arlington-Alexandria
11001008100,"nombre 81, Distrito de Columbia, Distrito de Columbia",3286,2602,14306800,84970000,218600,249300,315,7,92,0,18,8500,276,Washington,Washington-Arlington-Alexandria
11001008200,"nombre 82, Distrito de Columbia, Distrito de Columbia",3056,2124,11574200,98980000,194700,0,232,0,102,0,0,8700,254,Washington,Washington-Arlington-Alexandria
11001008410,"nombre 84.10, Distrito de Columbia, Distrito de Columbia",1533,1160,14156300,65190000,83700,76000,607,5,47,0,4,1000,100,Washington,Washington-Arlington-Alexandria
11001008804,"nombre 88.04, Distrito de Columbia, Distrito de Columbia",2561,1876,4392200,38770000,57100,25300,2010,0,194,0,0,3300,71,Washington,Washington-Arlington-Alexandria
11001009201,"nombre 93.02, Distrito de Columbia, Distrito de Columbia",2718,1691,8484400,66240000,117400,114200,1118,10,82,0,0,18100,195,Washington,Washington-Arlington-Alexandria
11001009302,"nombre 93.02, Distrito de Columbia, Distrito de Columbia",1279,1017,7137500,51020000,41700,208508,541,0,3,0,0,600,345,Washington,Washington-Arlington-Alexandria
11001009507,"nombre 95.07, Distrito de Columbia, Distrito de Columbia",4540,1230,7437500,2838168525,32600,1800,1603,0,0,0,0,1100,292,Washington,Washington-Arlington-Alexandria
11001009901,"nombre 99.03, Distrito de Columbia, Distrito de Columbia",2890,2175,8981300,38380000,98500,9500,2465,0,186,0,0,8800,871,Washington,Washington-Arlington-Alexandria
11001009903,"nombre 99.03, Distrito de Columbia, Distrito de Columbia",1952,1392,6427900,30480000,0,9100,1749,53,0,0,18,3300,8,Washington,Washington-Arlington-Alexandria
11001009905,"nombre 99.05, Distrito de Columbia, Distrito de Columbia",2890,1785,4065000,17480000,21800,300,2705,0,0,0,14,4200,126,Washington,Washington-Arlington-Alexandria
